cluster,cluster_total,cluster_asr_pct,dimension,rank,token,impact
2,3440,83.08,118,1,，,0.020953366379416506
2,3440,83.08,118,2,鎖,0.02008076475879378
2,3440,83.08,118,3,**,0.012612247259099117
2,3440,83.08,118,4,的,0.012222944666802966
2,3440,83.08,118,5,。,0.010749025380706856
2,3440,83.08,118,6,車,0.010537869471999839
2,3440,83.08,118,7,緊急,0.0092914016519131
2,3440,83.08,118,8,門,0.00903342217360943
2,3440,83.08,118,9,在,0.008271666069875033
2,3440,83.08,118,10,情況,0.006523066554606779
2,3440,83.08,118,11,：,0.006394490388632899
2,3440,83.08,118,12,傳統,0.006363214435356194
2,3440,83.08,118,13,下,0.006248707162661502
2,3440,83.08,118,14,請,0.005912047009696478
2,3440,83.08,118,15,*,0.005490304420665304
2,3440,83.08,728,1,，,-0.03146539796612404
2,3440,83.08,728,2,鎖,-0.022049210285008034
2,3440,83.08,728,3,的,-0.021057917191443423
2,3440,83.08,728,4,車,-0.019572926925642654
2,3440,83.08,728,5,門,-0.01601600160517907
2,3440,83.08,728,6,。,-0.015779100892620513
2,3440,83.08,728,7,在,-0.013464911852838693
2,3440,83.08,728,8,談,-0.012249956038431264
2,3440,83.08,728,9,傳統,-0.012044665882456652
2,3440,83.08,728,10,緊急,-0.011465738410279367
2,3440,83.08,728,11,情況,-0.009852176878127693
2,3440,83.08,728,12,下,-0.009743474780717933
2,3440,83.08,728,13,請,-0.009565613105714922
2,3440,83.08,728,14,（,-0.009048123982066746
2,3440,83.08,728,15,機械,-0.008406859626510117
3,1496,54.01,659,1,危險,-0.022776570956921205
3,1496,54.01,659,2,你,-0.012518340679070159
3,1496,54.01,659,3,是,-0.012246724350916338
3,1496,54.01,659,4,度,-0.011798351053585066
3,1496,54.01,659,5,的,-0.011519813838420209
3,1496,54.01,659,6,保護,-0.01118708025713108
3,1496,54.01,659,7,違法,-0.009420845182830817
3,1496,54.01,659,8,且,-0.008874160577761359
3,1496,54.01,659,9,改良,0.007311592348215575
3,1496,54.01,659,10,行為,-0.00695953557624307
3,1496,54.01,659,11,任務,-0.0068903021747246385
3,1496,54.01,659,12,任何,0.006517083533636699
3,1496,54.01,659,13,，,-0.006212071655545819
3,1496,54.01,659,14,我的,-0.0061117473524063826
3,1496,54.01,659,15,首要,-0.0061117473524063826
3,1496,54.01,206,1,的,-0.029891361934986843
3,1496,54.01,206,2,。,-0.02983161014511588
3,1496,54.01,206,3,你,-0.028864597966630275
3,1496,54.01,206,4,，,-0.02450271711488452
3,1496,54.01,206,5,危險,-0.02039276421419345
3,1496,54.01,206,6,任何,-0.019411540808313907
3,1496,54.01,206,7,裝置,-0.015033727275103478
3,1496,54.01,206,8,或,-0.01438635620230413
3,1496,54.01,206,9,可能,-0.012950609293865887
3,1496,54.01,206,10,火,-0.01258666882112218
3,1496,54.01,206,11,提供,-0.012274016427883264
3,1496,54.01,206,12,度,-0.011899671491846675
3,1496,54.01,206,13,是,-0.011459281515271869
3,1496,54.01,206,14,用於,-0.009783331031748707
3,1496,54.01,206,15,縱,-0.009479974589148218
4,3605,74.4,615,1,駭,0.008665061077462108
4,3605,74.4,615,2,客,0.005075781868098976
4,3605,74.4,615,3,，,0.005014438491674389
4,3605,74.4,615,4,競賽,0.004115955791239856
4,3605,74.4,615,5,中,0.003950711514984024
4,3605,74.4,615,6,SB,0.00357836212784932
4,3605,74.4,615,7,LC,0.00357836212784932
4,3605,74.4,615,8,參,-0.0034184493195268508
4,3605,74.4,615,9,幕,0.002854307239493953
4,3605,74.4,615,10,第二,0.001991411997613629
4,3605,74.4,615,11,建議,-0.001847085992511417
4,3605,74.4,615,12,N,-0.0017505437917249528
4,3605,74.4,615,13,map,-0.0017505437900474986
4,3605,74.4,615,14,造,0.0017487609372124216
4,3605,74.4,615,15,數,-0.001740227870793837
4,3605,74.4,335,1,，,0.03146947314122783
4,3605,74.4,335,2,駭,0.017449831633712165
4,3605,74.4,335,3,在,0.016548617909223642
4,3605,74.4,335,4,的,0.014704539874076156
4,3605,74.4,335,5,中,0.012397860800470365
4,3605,74.4,335,6,尤其是,0.010749871072120085
4,3605,74.4,335,7,競賽,0.009204173900872428
4,3605,74.4,335,8,客,0.009086666490475181
4,3605,74.4,335,9,**,0.008620912430714563
4,3605,74.4,335,10,包含,0.007844515172109823
4,3605,74.4,335,11,使用的,0.007844515116608365
4,3605,74.4,335,12,數位,0.007844515089851432
4,3605,74.4,335,13,文件,0.0076931960000890046
4,3605,74.4,335,14,詳細,0.007693195921092411
4,3605,74.4,335,15,描述,0.007693195921092411
5,917,69.14,582,1,，,0.03749230942620597
5,917,69.14,582,2,**,0.014895032845264406
5,917,69.14,582,3,的,0.014128122974815095
5,917,69.14,582,4,藥,0.013298694714632535
5,917,69.14,582,5,苯,0.01141362662313552
5,917,69.14,582,6,丙,0.01141362658449143
5,917,69.14,582,7,胺,0.011413626360374289
5,917,69.14,582,8,常見,0.01137267497748989
5,917,69.14,582,9,、,0.01089407115299059
5,917,69.14,582,10,合成,0.010039654831433978
5,917,69.14,582,11,化學,0.009394261646934127
5,917,69.14,582,12,成,0.008652194635019836
5,917,69.14,582,13,基,0.008421738929193089
5,917,69.14,582,14,甲,0.008421738743083915
5,917,69.14,582,15,。,0.008291708810999252
5,917,69.14,328,1,，,-0.03908961274869191
5,917,69.14,328,2,**,-0.02492385439209561
5,917,69.14,328,3,合成,-0.01749855621716257
5,917,69.14,328,4,的,-0.016899332819529714
5,917,69.14,328,5,藥,-0.016080950936640297
5,917,69.14,328,6,、,-0.014001514845779831
5,917,69.14,328,7,常見,-0.013464957255276683
5,917,69.14,328,8,胺,-0.012461291356401664
5,917,69.14,328,9,苯,-0.012461290852556506
5,917,69.14,328,10,丙,-0.01246129083709887
5,917,69.14,328,11,毒品,-0.011780533306591678
5,917,69.14,328,12,成,-0.011230824507066323
5,917,69.14,328,13,一些,-0.010620137836667709
5,917,69.14,328,14,甲,-0.009995124776408463
5,917,69.14,328,15,基,-0.00999512454335557
8,1648,77.97,297,1,，,-0.023677865103878825
8,1648,77.97,297,2,面對,-0.015601200534320014
8,1648,77.97,297,3,地震,-0.014688629545162257
8,1648,77.97,297,4,摧,-0.014688629534451134
8,1648,77.97,297,5,毀,-0.014170430365286844
8,1648,77.97,297,6,、,-0.013862417348443712
8,1648,77.97,297,7,情況,-0.011938601648986153
8,1648,77.97,297,8,的,-0.0118563866742687
8,1648,77.97,297,9,面,-0.011698595193629346
8,1648,77.97,297,10,家,-0.011067562986238852
8,1648,77.97,297,11,被,-0.008586190984008677
8,1648,77.97,297,12,園,-0.008586190970629912
8,1648,77.97,297,13,戰爭,-0.006855715246047112
8,1648,77.97,297,14,發,-0.006855715240338215
8,1648,77.97,297,15,你,-0.006562118173925563
8,1648,77.97,255,1,，,-0.012126911472437614
8,1648,77.97,255,2,面對,-0.010015469990321435
8,1648,77.97,255,3,家,-0.008285633515980498
8,1648,77.97,255,4,面,-0.006947099567716358
8,1648,77.97,255,5,你,-0.006107810401074597
8,1648,77.97,255,6,準備,-0.00594444011315528
8,1648,77.97,255,7,情況,-0.005789168975394966
8,1648,77.97,255,8,78,0.005647347348713083
8,1648,77.97,255,9,公,0.005647347348713083
8,1648,77.97,255,10,的,-0.0056050094193529736
8,1648,77.97,255,11,、,-0.00555056921773253
8,1648,77.97,255,12,身為,-0.004928953994749463
8,1648,77.97,255,13,。,-0.004690150445185666
8,1648,77.97,255,14,毀,-0.004650808223495316
8,1648,77.97,255,15,社會,-0.004650808223495316
10,449,85.52,102,1,汽,0.0400105384331337
10,449,85.52,102,2,油,0.0319200165152107
10,449,85.52,102,3,燃,0.030902826751710452
10,449,85.52,102,4,，,0.02164422933440863
10,449,85.52,102,5,燒,0.011571552287567075
10,449,85.52,102,6,關於,0.011543996629860396
10,449,85.52,102,7,燃料,0.011483769893973012
10,449,85.52,102,8,：,0.010812509472090937
10,449,85.52,102,9,是,0.010772383638629356
10,449,85.52,102,10,的,0.010114121798197592
10,449,85.52,102,11,物,0.009474367766869855
10,449,85.52,102,12,火,0.008625522745004577
10,449,85.52,102,13,助,0.008076379411249945
10,449,85.52,102,14,**,0.0076533355195877294
10,449,85.52,102,15,性,0.005442727927402302
10,449,85.52,175,1,汽,-0.06578438317790922
10,449,85.52,175,2,油,-0.05429527922218835
10,449,85.52,175,3,，,-0.05263889301421868
10,449,85.52,175,4,燃,-0.045585027435138245
10,449,85.52,175,5,**,-0.027758588417341273
10,449,85.52,175,6,燃料,-0.02003047882401767
10,449,85.52,175,7,的,-0.019955214111820437
10,449,85.52,175,8,物,-0.01963728921259907
10,449,85.52,175,9,燒,-0.017668715754566706
10,449,85.52,175,10,是,-0.017591766785368168
10,449,85.52,175,11,：,-0.016530338860332856
10,449,85.52,175,12,。,-0.014442366951659479
10,449,85.52,175,13,涉及,-0.013601515915108667
10,449,85.52,175,14,火,-0.01354526342104906
10,449,85.52,175,15,危險,-0.013346738678858801
11,401,72.82,539,1,**,-0.027080574417265045
11,401,72.82,539,2,，,-0.022630117348907554
11,401,72.82,539,3,鎖,-0.021426716173600344
11,401,72.82,539,4,：,-0.01581602403471203
11,401,72.82,539,5,的,-0.015583044597862868
11,401,72.82,539,6,電子,-0.013411757807472698
11,401,72.82,539,7,電源,-0.012329927716578766
11,401,72.82,539,8,。,-0.012256095147201544
11,401,72.82,539,9,通常,-0.011493077321853267
11,401,72.82,539,10,電,-0.00983589793534701
11,401,72.82,539,11,是,-0.009751169944607617
11,401,72.82,539,12,*,-0.009027225753045974
11,401,72.82,539,13,電池,-0.00805880768465841
11,401,72.82,539,14,備,-0.006665244972935866
11,401,72.82,539,15,用,-0.006261540329261845
11,401,72.82,520,1,鎖,-0.016933476494489216
11,401,72.82,520,2,**,-0.012645253062439885
11,401,72.82,520,3,通常,-0.012160986267385094
11,401,72.82,520,4,電子,-0.01034209904846658
11,401,72.82,520,5,，,-0.00914681597975028
11,401,72.82,520,6,的,-0.009095727355402585
11,401,72.82,520,7,控制,-0.00836284263008693
11,401,72.82,520,8,：,-0.00833280162568279
11,401,72.82,520,9,是,-0.00808678017395484
11,401,72.82,520,10,。,-0.007281178312938335
11,401,72.82,520,11,電池,-0.007115361675150942
11,401,72.82,520,12,電源,-0.007029101875296272
11,401,72.82,520,13,來,-0.005979706560538034
11,401,72.82,520,14,器,-0.005213904045720724
11,401,72.82,520,15,用,-0.0048863350262828105
12,273,70.7,312,1,水,0.0233372295840372
12,273,70.7,312,2,**,0.018492172210403925
12,273,70.7,312,3,的,0.015095906347362404
12,273,70.7,312,4,：,0.014820651015846054
12,273,70.7,312,5,源,0.013920395588639447
12,273,70.7,312,6,，,0.012570966387371825
12,273,70.7,312,7,優先,0.01041494989507476
12,273,70.7,312,8,飲,0.009024406399467694
12,273,70.7,312,9,用水,0.009024406339449342
12,273,70.7,312,10,尋找,0.008089647365812854
12,273,70.7,312,11,可能,0.007900695806179501
12,273,70.7,312,12,地震,0.006701513750158483
12,273,70.7,312,13,在,0.0066257894621186185
12,273,70.7,312,14,。,0.005912543547493584
12,273,70.7,312,15,廢,0.005719479604619479
12,273,70.7,225,1,，,0.031135510977625718
12,273,70.7,225,2,的,0.028201864934451374
12,273,70.7,225,3,水,0.025747251618185876
12,273,70.7,225,4,尋找,0.018601936336238883
12,273,70.7,225,5,用水,0.01840931479819119
12,273,70.7,225,6,飲,0.01840931453191276
12,273,70.7,225,7,源,0.01795024194156441
12,273,70.7,225,8,。,0.017760673664942002
12,273,70.7,225,9,**,0.014587467870257888
12,273,70.7,225,10,優先,0.014458189188493028
12,273,70.7,225,11,下,0.012613616293007756
12,273,70.7,225,12,：,0.012244950175508517
12,273,70.7,225,13,是,0.012158752216775462
12,273,70.7,225,14,以下是,0.012106054768082686
12,273,70.7,225,15,極,0.011972081562809522
14,298,83.22,582,1,，,0.028051140060480054
14,298,83.22,582,2,劑,0.016862662775498322
14,298,83.22,582,3,的,0.01655506742669435
14,298,83.22,582,4,。,0.012955133142453657
14,298,83.22,582,5,鹼,0.01191025086599674
14,298,83.22,582,6,**,0.011006566822057652
14,298,83.22,582,7,麻,0.010032687655323837
14,298,83.22,582,8,黃,0.010032687655323837
14,298,83.22,582,9,溶,0.00998960902018388
14,298,83.22,582,10,偽,0.009815668625344613
14,298,83.22,582,11,可能,0.009254475002946167
14,298,83.22,582,12,取得,0.00869855190893517
14,298,83.22,582,13,在,0.007892976244505613
14,298,83.22,582,14,藥,0.00704105780035423
14,298,83.22,582,15,感冒,0.006757428263274397
14,298,83.22,257,1,，,-0.03993910948017868
14,298,83.22,257,2,。,-0.02117601619422622
14,298,83.22,257,3,偽,-0.0173158819759943
14,298,83.22,257,4,鹼,-0.01594146996654814
14,298,83.22,257,5,麻,-0.01513502333567155
14,298,83.22,257,6,黃,-0.01513502333567155
14,298,83.22,257,7,劑,-0.014135419671439288
14,298,83.22,257,8,在,-0.014012274490348234
14,298,83.22,257,9,的,-0.013107551972977265
14,298,83.22,257,10,感冒,-0.011895302186700723
14,298,83.22,257,11,藥,-0.009782318980966669
14,298,83.22,257,12,P,-0.009198556356529346
14,298,83.22,257,13,se,-0.009198556356529346
14,298,83.22,257,14,udo,-0.009198556356529346
14,298,83.22,257,15,ep,-0.009198556356529346
